years,g_baseline,g_hot,productivity_baseline,productivity_hot,pb_baseline,pb_hot,dspb_baseline,dspb_hot,debt_baseline,debt_hot
2087,4.951997,4.894228,1.200000,1.144297,1.244547,0.677227,1.284214,2.000809,50.741231,78.594141
2088,4.912552,4.854795,1.200000,1.144287,1.259876,0.682494,1.304779,2.065404,50.786134,79.977051
2089,4.884858,4.827106,1.200000,1.144278,1.278162,0.690823,1.319688,2.123426,50.827660,81.409655
2090,4.848637,4.790897,1.200000,1.144269,1.290176,0.692690,1.338782,2.190340,50.876267,82.907304
2091,4.813979,4.756250,1.200000,1.144262,1.306470,0.698984,1.357329,2.258792,50.927126,84.467112
2092,4.780842,4.723125,1.200000,1.144255,1.322359,0.704872,1.375221,2.328735,50.979987,86.090975
2093,4.750628,4.692922,1.200000,1.144249,1.337605,0.710106,1.391750,2.399026,51.034132,87.779895
2094,4.724745,4.667047,1.200000,1.144244,1.352767,0.715264,1.406186,2.468394,51.087550,89.533025
2095,4.695979,4.638291,1.200000,1.144239,1.365072,0.717474,1.422081,2.542989,51.144559,91.358541
2096,4.672937,4.615259,1.200000,1.144235,1.379633,0.722028,1.435240,2.615524,51.200166,93.252037
2097,4.651296,4.593625,1.200000,1.144231,1.391095,0.723382,1.447685,2.689574,51.256757,95.218229
2098,4.632484,4.574820,1.200000,1.144228,1.402059,0.724225,1.458761,2.763899,51.313459,97.257902
2099,4.620829,4.563169,1.200000,1.144225,1.412778,0.724822,1.466254,2.834256,51.366935,99.367337
