vintage,iso3c,years,gdp_deflator,interest_rate_percent
weo-2024-10,UGA,2001,33.60022536665871,1.76045925542987
weo-2024-10,UGA,2002,34.555470143358676,1.9321944128458965
weo-2024-10,UGA,2003,36.823415646070956,2.3442767742299786
weo-2024-10,UGA,2004,39.53214067390051,2.619913570917396
weo-2024-10,UGA,2005,40.97006461747976,2.5520014936394344
weo-2024-10,UGA,2006,44.47986808528491,3.400117138407021
weo-2024-10,UGA,2007,48.178814018919255,5.325809241486058
weo-2024-10,UGA,2008,55.75542314459286,5.691449573735677
weo-2024-10,UGA,2009,65.47351524879615,5.217875113241247
weo-2024-10,UGA,2010,66.88818368489827,3.82267858129334
weo-2024-10,UGA,2011,80.18468864130183,3.9984778129344747
weo-2024-10,UGA,2012,87.51454095750087,5.204683496666477
weo-2024-10,UGA,2013,90.88014777789851,4.823351663521005
weo-2024-10,UGA,2014,92.84297707492011,4.885714104607197
weo-2024-10,UGA,2015,92.86726859295766,5.0401911242393975
weo-2024-10,UGA,2016,98.20863767179887,6.5709523601024475
weo-2024-10,UGA,2017,101.45770520380302,6.112029020795917
weo-2024-10,UGA,2018,106.9436721764478,5.14532654999829
weo-2024-10,UGA,2019,109.6548700968305,5.610208460587194
weo-2024-10,UGA,2020,111.795261624224,4.85835268429118
weo-2024-10,UGA,2021,115.15936284886428,5.702954185722638
weo-2024-10,UGA,2022,123.6165254237288,6.189634197274323
weo-2024-10,UGA,2023,128.5016165720573,6.344193298691403
weo-2024-10,UGA,2024,134.56921153297344,7.126687578015134
weo-2024-10,UGA,2025,140.66737052598475,7.876906182014479
weo-2024-10,UGA,2026,147.78668291104486,7.553783522339542
weo-2024-10,UGA,2027,154.65138398302213,7.791817304813346
weo-2024-10,UGA,2028,161.63935969228834,7.8497977227321005
weo-2024-10,UGA,2029,169.4524580320942,8.039026657461914
weo-2024-10,KEN,2001,36.69731934592952,4.797566193861658
weo-2024-10,KEN,2002,37.26062737279651,5.114699031889135
weo-2024-10,KEN,2003,39.2307788129215,4.298369001201928
weo-2024-10,KEN,2004,41.64838987801034,3.636685602825011
weo-2024-10,KEN,2005,43.418455620110066,4.43697296279319
weo-2024-10,KEN,2006,44.14258281315011,4.71836353425507
weo-2024-10,KEN,2007,47.7242613486312,4.774896320970627
