vintage,iso3c,measure,variant,years,value
weo-2024-10,UGA,working_age,Medium,2043,48608
weo-2024-10,UGA,working_age,Medium,2044,49854
weo-2024-10,UGA,working_age,Medium,2045,51093
weo-2024-10,UGA,working_age,Medium,2046,52320
weo-2024-10,UGA,working_age,Medium,2047,53537
weo-2024-10,UGA,working_age,Medium,2048,54745
weo-2024-10,UGA,working_age,Medium,2049,55937
weo-2024-10,UGA,working_age,Medium,2050,57115
weo-2024-10,UGA,working_age,Medium,2051,58277
weo-2024-10,UGA,working_age,Medium,2052,59423
weo-2024-10,UGA,working_age,Medium,2053,60551
weo-2024-10,UGA,working_age,Medium,2054,61658
weo-2024-10,UGA,working_age,Medium,2055,62745
weo-2024-10,UGA,working_age,Medium,2056,63811
weo-2024-10,UGA,working_age,Medium,2057,64853
weo-2024-10,UGA,working_age,Medium,2058,65873
weo-2024-10,UGA,working_age,Medium,2059,66876
weo-2024-10,UGA,working_age,Medium,2060,67863
weo-2024-10,UGA,working_age,Medium,2061,68835
weo-2024-10,UGA,working_age,Medium,2062,69792
weo-2024-10,UGA,working_age,Medium,2063,70729
weo-2024-10,UGA,working_age,Medium,2064,71645
weo-2024-10,UGA,working_age,Medium,2065,72536
weo-2024-10,UGA,working_age,Medium,2066,73400
weo-2024-10,UGA,working_age,Medium,2067,74241
weo-2024-10,UGA,working_age,Medium,2068,75057
weo-2024-10,UGA,working_age,Medium,2069,75842
weo-2024-10,UGA,working_age,Medium,2070,76600
weo-2024-10,UGA,working_age,Medium,2071,77333
weo-2024-10,UGA,working_age,Medium,2072,78047
weo-2024-10,UGA,working_age,Medium,2073,78740
weo-2024-10,UGA,working_age,Medium,2074,79404
weo-2024-10,UGA,working_age,Medium,2075,80033
weo-2024-10,UGA,working_age,Medium,2076,80630
weo-2024-10,UGA,working_age,Medium,2077,81202
weo-2024-10,UGA,working_age,Medium,2078,81745
weo-2024-10,UGA,working_age,Medium,2079,82264
weo-2024-10,UGA,working_age,Medium,2080,82757
weo-2024-10,UGA,working_age,Medium,2081,83221
weo-2024-10,UGA,working_age,Medium,2082,83655
weo-2024-10,UGA,working_age,Medium,2083,84051
weo-2024-10,UGA,working_age,Medium,2084,84415
weo-2024-10,UGA,working_age,Medium,2085,84743
weo-2024-10,UGA,working_age,Medium,2086,85035
weo-2024-10,UGA,working_age,Medium,2087,85294
weo-2024-10,UGA,working_age,Medium,2088,85526
weo-2024-10,UGA,working_age,Medium,2089,85740
weo-2024-10,UGA,working_age,Medium,2090,85939
weo-2024-10,UGA,working_age,Medium,2091,86129
weo-2024-10,UGA,working_age,Medium,2092,86301
weo-2024-10,UGA,working_age,Medium,2093,86456
weo-2024-10,UGA,working_age,Medium,2094,86603
weo-2024-10,UGA,working_age,Medium,2095,86740
weo-2024-10,UGA,working_age,Medium,2096,86866
weo-2024-10,UGA,working_age,Medium,2097,86979
weo-2024-10,UGA,working_age,Medium,2098,87074
weo-2024-10,UGA,working_age,Medium,2099,87159
weo-2024-10,UGA,working_age,High,2009,15169
weo-2024-10,UGA,working_age,High,2010,15692
weo-2024-10,UGA,working_age,High,2011,16233
weo-2024-10,UGA,working_age,High,2012,16789
weo-2024-10,UGA,working_age,High,2013,17367
weo-2024-10,UGA,working_age,High,2014,18003
weo-2024-10,UGA,working_age,High,2015,18718
weo-2024-10,UGA,working_age,High,2016,19557
weo-2024-10,UGA,working_age,High,2017,20493
weo-2024-10,UGA,working_age,High,2018,21429
weo-2024-10,UGA,working_age,High,2019,22400
weo-2024-10,UGA,working_age,High,2020,23386
weo-2024-10,UGA,working_age,High,2021,24363
weo-2024-10,UGA,working_age,High,2022,25290
weo-2024-10,UGA,working_age,High,2023,26163
weo-2024-10,UGA,working_age,High,2024,27058
weo-2024-10,UGA,working_age,High,2025,27988
weo-2024-10,UGA,working_age,High,2026,28954
weo-2024-10,UGA,working_age,High,2027,29954
weo-2024-10,UGA,working_age,High,2028,30979
weo-2024-10,UGA,working_age,High,2029,32020
weo-2024-10,UGA,working_age,High,2030,33076
weo-2024-10,UGA,working_age,High,2031,34147
weo-2024-10,UGA,working_age,High,2032,35241
weo-2024-10,UGA,working_age,High,2033,36366
weo-2024-10,UGA,working_age,High,2034,37521
weo-2024-10,UGA,working_age,High,2035,38704
weo-2024-10,UGA,working_age,High,2036,39912
weo-2024-10,UGA,working_age,High,2037,41185
weo-2024-10,UGA,working_age,High,2038,42517
weo-2024-10,UGA,working_age,High,2039,43857
weo-2024-10,UGA,working_age,High,2040,45202
weo-2024-10,UGA,working_age,High,2041,46551
weo-2024-10,UGA,working_age,High,2042,47936
weo-2024-10,UGA,working_age,High,2043,49359
weo-2024-10,UGA,working_age,High,2044,50786
weo-2024-10,UGA,working_age,High,2045,52211
weo-2024-10,UGA,working_age,High,2046,53630
weo-2024-10,UGA,working_age,High,2047,55070
weo-2024-10,UGA,working_age,High,2048,56532
weo-2024-10,UGA,working_age,High,2049,57984
weo-2024-10,UGA,working_age,High,2050,59429
weo-2024-10,UGA,working_age,High,2051,60865
weo-2024-10,UGA,working_age,High,2052,62293
weo-2024-10,UGA,working_age,High,2053,63711
weo-2024-10,UGA,working_age,High,2054,65118
weo-2024-10,UGA,working_age,High,2055,66515
weo-2024-10,UGA,working_age,High,2056,67904
weo-2024-10,UGA,working_age,High,2057,69282
weo-2024-10,UGA,working_age,High,2058,70652
weo-2024-10,UGA,working_age,High,2059,72022
weo-2024-10,UGA,working_age,High,2060,73391
weo-2024-10,UGA,working_age,High,2061,74763
weo-2024-10,UGA,working_age,High,2062,76140
weo-2024-10,UGA,working_age,High,2063,77515
weo-2024-10,UGA,working_age,High,2064,78889
weo-2024-10,UGA,working_age,High,2065,80259
weo-2024-10,UGA,working_age,High,2066,81622
weo-2024-10,UGA,working_age,High,2067,82984
weo-2024-10,UGA,working_age,High,2068,84341
weo-2024-10,UGA,working_age,High,2069,85688
weo-2024-10,UGA,working_age,High,2070,87028
weo-2024-10,UGA,working_age,High,2071,88363
